"filename", "language", "JSON", "JSON with Comments", "TypeScript", "SCSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\fan\fan.page.html", "HTML", 0, 0, 0, 0, 83, 0, 0, 0, 4, 3, 90
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\fan\fan.page.scss", "SCSS", 0, 0, 0, 396, 0, 0, 0, 0, 2, 7, 405
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\fan\fan.page.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 5, 59
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\approve-request\approve-request.component.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\approve-request\approve-request.component.scss", "SCSS", 0, 0, 0, 67, 0, 0, 0, 0, 0, 4, 71
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\approve-request\approve-request.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\approve-request\approve-request.component.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-message-modal\cancel-message-modal.component.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-message-modal\cancel-message-modal.component.scss", "SCSS", 0, 0, 0, 71, 0, 0, 0, 0, 0, 4, 75
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-message-modal\cancel-message-modal.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-message-modal\cancel-message-modal.component.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-request-modal\cancel-request-modal.component.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-request-modal\cancel-request-modal.component.scss", "SCSS", 0, 0, 0, 67, 0, 0, 0, 0, 0, 4, 71
